id,battery_power,blue,clock_speed,dual_sim,fc_megapixel,four_g,int_memory,m_depth,mobile_wt,n_cores,pc_megapixel,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,mobile_wt_zscore,ram_zscore,new mobile_wt,new ram,,,,
66,616,0,1.9,1,13,1,44,0.8,81,3,17,651,1618,3366,18,8,13,1,1,0,3,-1.673877418,0.219743397,81,3366,,,,
67,1358,1,0.5,0,11,1,36,0.3,155,4,14,1565,1858,3068,9,4,4,1,1,0,3,0.418060939,0.161755952,155,3068,,,,
68,1866,0,1.4,0,0,0,30,0.5,182,3,0,108,1781,3834,16,11,8,0,0,0,3,1.181335745,0.31081093,182,3834,,,,
69,1242,0,1.1,1,0,0,10,0.6,165,2,1,459,1225,1050,11,1,4,1,0,1,0,0.700755312,-0.230924134,165,1050,,,,
70,1166,0,1.5,1,0,1,43,0.8,80,4,1,205,603,3993,7,1,7,1,1,0,3,-1.702146855,0.34175054,80,3993,,,,
71,1448,1,0.5,1,6,1,45,0.8,138,7,11,570,1724,3378,13,11,2,1,1,1,3,-0.062519494,0.222078462,138,3378,,,,
72,1407,1,2.4,0,1,1,22,0.7,104,4,4,1172,1217,2192,9,7,13,1,0,1,2,-1.023680361,-0.008703788,104,2192,,,,
73,605,0,1,0,8,1,9,0.1,142,3,16,160,1026,392,15,6,4,1,0,0,0,0.050558255,-0.358963528,142,392,,,,
74,1038,0,1.2,0,3,0,43,0.7,141,1,5,4,638,3709,11,0,12,1,1,1,3,0.022288818,0.286487337,141,3709,,,,
75,797,1,2.9,1,4,0,38,0.5,90,4,6,763,1413,590,9,2,6,0,1,0,0,-1.419452482,-0.320434956,90,590,,,,
76,819,0,0.6,1,8,1,42,0.9,188,6,20,339,1242,1814,5,4,13,1,0,1,1,1.350952369,-0.082258334,188,1814,,,,
77,1114,0,2.8,0,4,1,9,0.4,197,3,15,1040,1071,907,10,7,17,1,1,0,0,1.605377304,-0.258750325,197,907,,,,
78,1234,1,1.6,1,1,0,33,0.6,172,1,3,166,778,1449,11,7,6,0,0,1,0,0.898641373,-0.153283225,172,1449,,,,
79,1199,1,2.5,1,15,1,16,0.2,116,4,20,1168,1552,3448,17,13,10,1,0,1,3,-0.684447114,0.235699674,116,3448,,,,
80,1103,0,1,1,6,0,29,0.7,111,6,8,990,1486,1837,8,7,16,0,1,1,1,-0.8257943,-0.077782792,111,1837,,,,
81,1589,1,0.6,1,0,1,58,0.9,85,7,7,319,1206,3464,19,10,6,1,1,1,3,-1.560799669,0.238813094,85,3464,,,,
82,999,0,2.9,1,11,1,64,0.2,199,4,19,1397,1616,2593,14,11,16,1,1,0,2,1.661916179,0.069326298,199,2593,,,,
83,1510,1,0.9,1,2,0,45,0.9,180,5,3,708,1752,3484,9,6,11,0,1,1,3,1.124796871,0.242704869,180,3484,,,,
84,1008,0,0.8,0,11,0,61,1,114,3,15,1077,1122,2009,10,3,11,1,0,0,1,-0.740985988,-0.044313528,114,2009,,,,
85,1127,1,2.9,1,5,1,57,0.8,163,1,13,928,1049,2048,11,5,17,1,1,1,1,0.644216437,-0.036724567,163,2048,,,,
86,1412,1,2.4,0,5,0,25,0.8,96,8,17,516,1894,837,15,9,4,0,0,1,1,-1.249835859,-0.272371537,96,837,,,,
87,1496,1,2,1,4,0,42,0.5,182,5,5,96,741,854,16,0,7,0,1,1,0,1.181335745,-0.269063528,182,854,,,,
88,1083,1,2.9,1,1,1,64,0.8,178,3,11,1025,1118,3210,13,3,4,1,0,0,3,1.068257996,0.189387553,178,3210,,,,
89,668,0,0.5,1,0,0,3,0.1,155,5,13,666,1203,2746,9,5,8,1,1,1,2,0.418060939,0.099098376,155,2746,,,,
90,1309,0,1.1,1,0,0,33,0.5,100,4,14,557,1402,2334,10,1,11,1,0,1,2,-1.13675811,0.018927813,100,2334,,,,
91,1724,0,2,1,2,1,57,0.5,177,3,5,1605,1924,2822,19,3,16,1,1,0,3,1.039988559,0.113887121,177,2822,,,,
92,1977,1,2,1,7,1,54,1,171,7,18,1226,1242,1971,18,7,14,1,1,0,2,0.870371935,-0.051707901,171,1971,,,,
93,885,0,2.3,1,0,1,15,0.4,103,7,0,769,802,1410,16,10,5,1,1,1,0,-1.051949798,-0.160872186,103,1410,,,,
94,879,1,2.5,0,11,1,14,0.7,83,6,15,403,1105,349,16,10,2,1,0,1,0,-1.617338543,-0.367330844,83,349,,,,
95,1322,0,1.7,1,6,0,7,0.8,140,3,9,177,1990,1418,19,17,12,0,1,0,1,-0.00598062,-0.159315476,140,1418,,,,
96,1137,1,1,0,18,0,7,1,196,3,19,942,1179,3616,13,5,12,1,1,1,3,1.577107867,0.268390583,196,3616,,,,
97,1355,0,2.3,0,10,1,23,0.2,132,5,16,651,891,880,19,4,8,1,1,0,0,-0.232136118,-0.264004221,132,880,,,,
98,1665,1,0.5,0,3,1,60,0.2,194,6,18,1572,1684,1601,18,17,14,1,0,0,2,1.520568992,-0.123705736,194,1601,,,,
99,657,0,2.5,0,0,0,37,0.7,141,2,1,476,961,1412,14,3,18,0,1,0,0,0.022288818,-0.160483009,141,1412,,,,
101,1883,1,0.5,0,3,1,10,0.3,146,6,13,836,1739,2600,16,8,20,1,0,0,3,0.163636004,0.070688419,146,2600,,,,
102,1732,1,1.1,0,4,1,12,0.8,119,8,9,824,881,1308,16,7,11,1,0,1,1,-0.599638802,-0.180720238,119,1308,,,,
103,543,0,0.5,0,0,0,57,0.7,192,5,4,391,984,2413,17,14,15,1,0,0,1,1.464030118,0.034300324,192,2413,,,,
104,1939,1,2.8,1,0,1,55,0.6,199,4,10,320,520,1047,14,10,18,1,1,0,0,1.661916179,-0.2315079,199,1047,,,,
105,553,0,2.4,1,1,1,8,0.5,121,7,3,325,902,1204,11,4,8,1,1,1,0,-0.543099928,-0.200957468,121,1204,,,,
106,832,0,0.7,1,2,1,39,0.7,103,4,3,125,1504,1799,5,2,11,1,0,1,1,-1.051949798,-0.085177165,103,1799,,,,
107,1661,0,1.9,1,5,0,23,1,172,5,10,846,1634,2676,12,6,11,0,1,1,3,0.898641373,0.085477164,172,2676,,,,
108,1657,1,2.4,0,3,0,42,0.1,198,5,16,1770,1796,2597,18,1,14,1,0,0,3,1.633646741,0.070104653,198,2597,,,,
109,1135,1,2,1,0,0,46,0.3,83,1,4,293,1846,3029,19,17,9,1,1,1,3,-1.617338543,0.154166991,83,3029,,,,
111,783,0,1.8,1,0,1,43,1,106,3,4,1198,1471,2016,16,4,18,1,1,0,1,-0.967141486,-0.042951407,106,2016,,,,
112,617,1,2.3,0,0,0,32,0.5,165,7,20,768,874,2213,18,13,7,0,0,0,1,0.700755312,-0.004617425,165,2213,,,,
113,867,0,1.4,1,0,1,4,0.7,135,6,1,70,1974,790,13,6,3,1,1,0,0,-0.147327806,-0.281517208,135,790,,,,
114,1310,1,1.1,1,13,0,7,1,194,5,14,117,513,3182,8,4,5,1,1,0,2,1.520568992,0.183939068,194,3182,,,,
115,1804,0,0.5,0,9,1,22,0.6,153,7,19,1158,1244,3472,9,1,20,1,0,1,3,0.361522065,0.240369804,153,3472,,,,
116,1900,1,2.3,0,1,1,18,0.2,89,7,9,1055,1661,2871,12,1,13,1,1,1,3,-1.44772192,0.123421969,89,2871,,,,
117,909,1,1.4,0,0,0,53,0.3,82,8,0,635,973,3187,12,9,4,1,0,0,2,-1.645607981,0.184912012,82,3187,,,,
118,1084,1,2.6,0,3,1,40,0.9,107,3,11,322,771,1945,15,4,10,1,1,0,1,-0.938872049,-0.056767208,107,1945,,,,
119,1308,0,1.3,1,8,0,46,0.9,199,1,12,275,989,488,5,3,9,0,1,0,0,1.661916179,-0.340283008,199,488,,,,
120,1778,0,0.5,0,0,0,15,0.5,102,3,0,1445,1954,1214,5,0,14,1,0,0,1,-1.080219235,-0.19901158,102,1214,,,,
121,1701,1,1.6,1,3,0,10,0.3,194,8,7,550,1338,2598,12,9,6,0,1,0,2,1.520568992,0.070299242,194,2598,,,,
122,772,1,2.4,1,1,1,10,0.5,80,4,2,1242,1712,3242,18,11,4,1,1,0,3,-1.702146855,0.195614393,80,3242,,,,
123,825,1,0.5,1,7,0,52,0.9,130,3,10,597,863,3534,10,4,6,0,1,0,3,-0.288674992,0.252434306,130,3534,,,,
124,1379,0,1.1,0,5,1,36,0.8,200,2,7,538,1376,3426,5,4,17,1,1,1,3,1.690185616,0.231418722,200,3426,,,,
125,1166,0,2,0,3,1,25,0.8,198,5,4,59,1203,2488,13,5,15,1,0,0,2,1.633646741,0.04889448,198,2488,,,,
126,1659,0,2.8,0,5,0,16,0.6,89,1,20,819,902,3255,19,14,9,0,0,1,3,-1.44772192,0.198144047,89,3255,,,,
127,826,1,2.4,1,0,1,58,0.3,88,4,1,179,786,2863,9,3,18,1,0,1,2,-1.475991357,0.121865259,88,2863,,,,
128,1564,0,2.3,0,4,1,25,0.5,189,6,17,1259,1965,1496,6,4,7,1,1,1,1,1.379221806,-0.144137554,189,1496,,,,
129,1957,0,0.9,1,11,0,31,0.6,181,3,16,396,1732,3801,12,0,7,1,0,1,3,1.153066308,0.304389501,181,3801,,,,
130,1571,0,1.4,0,0,1,19,0.1,100,6,1,713,1398,666,12,10,13,1,1,0,0,-1.13675811,-0.305646212,100,666,,,,
131,1414,0,2,1,2,0,54,0.8,165,7,3,262,829,3799,17,7,7,1,0,1,3,0.700755312,0.304000324,165,3799,,,,
132,1790,0,2.5,1,9,0,2,0.1,184,1,14,622,792,1366,7,0,20,1,1,1,1,1.23787462,-0.169434091,184,1366,,,,
133,645,0,0.5,0,1,0,41,1,197,7,10,327,580,2962,12,9,4,1,1,1,2,1.605377304,0.141129545,197,2962,,,,
134,668,0,2.9,1,7,0,30,0.2,195,8,12,522,1056,2399,10,5,7,1,1,1,1,1.548838429,0.031576082,195,2399,,,,
135,1652,1,1.1,1,1,0,36,0.7,89,4,5,313,1264,2338,12,8,20,0,0,0,2,-1.44772192,0.019706168,89,2338,,,,
136,1213,1,0.5,0,0,0,16,0.5,108,5,0,226,1248,2700,12,3,9,0,0,1,2,-0.910602612,0.090147294,108,2700,,,,
137,1272,1,2.5,1,0,0,22,0.9,133,6,8,605,669,2235,19,4,4,1,0,0,1,-0.20386668,-0.000336472,133,2235,,,,
138,866,0,0.5,1,5,1,46,0.5,179,8,7,692,1686,3825,12,11,2,1,1,1,3,1.096527433,0.309059631,179,3825,,,,
139,536,0,2.4,1,12,1,3,0.3,182,7,14,1386,1539,284,12,9,4,1,1,0,0,1.181335745,-0.379979112,182,284,,,,
140,523,0,2.6,1,1,0,14,0.1,155,8,2,304,1042,1427,9,1,9,0,1,0,0,0.418060939,-0.157564178,155,1427,,,,
141,1753,0,0.5,1,0,1,31,0.1,134,1,18,1590,1926,1324,17,0,17,1,0,1,2,-0.175597243,-0.177606818,134,1324,,,,
142,1218,0,1.8,1,1,1,14,0.5,147,3,4,229,616,398,17,0,5,1,0,0,0,0.191905441,-0.357795995,147,398,,,,
143,1537,1,2.5,0,4,1,43,0.3,137,1,5,839,1131,3685,18,17,17,1,1,1,3,-0.090788931,0.281817207,137,3685,,,,
144,786,0,2.2,1,0,0,33,0.5,141,7,6,507,1697,2390,12,11,5,1,0,1,2,0.022288818,0.029824783,141,2390,,,,
145,1678,0,2.1,0,3,1,64,0.9,134,3,11,436,536,278,19,0,10,1,1,0,0,-0.175597243,-0.381146645,134,278,,,,
146,1814,0,1.4,1,1,1,9,0.4,141,2,2,756,786,3556,18,12,16,1,0,0,3,0.022288818,0.256715259,141,3556,,,,
147,1101,0,1.8,0,0,0,31,0.2,148,2,7,387,1269,2196,12,6,19,0,1,1,1,0.220174878,-0.007925433,148,2196,,,,
148,1461,0,2.4,1,3,1,40,0.5,141,7,4,1265,1298,3799,16,1,4,1,0,0,3,0.022288818,0.304000324,141,3799,,,,
149,1216,0,3,0,4,0,47,0.4,199,3,7,1852,1967,2268,13,5,4,0,1,1,2,1.661916179,0.006084956,199,2268,,,,
150,506,0,1.6,0,6,1,41,0.8,159,1,7,875,1025,2965,13,10,15,1,0,0,2,0.531138688,0.141713311,159,2965,,,,
151,843,1,0.5,0,1,1,56,0.1,147,5,17,140,800,2341,10,1,20,1,1,1,1,0.191905441,0.020289935,147,2341,,,,
152,742,0,2.2,1,4,0,56,0.2,190,7,14,577,1359,3557,16,11,12,0,1,1,3,1.407491243,0.256909848,190,3557,,,,
153,1692,1,2.1,0,3,1,61,0.9,176,6,12,975,1996,1354,16,7,19,1,0,0,1,1.011719122,-0.171769156,176,1354,,,,
154,1485,0,1,0,2,1,32,0.7,84,2,9,510,1013,2147,19,1,11,1,1,0,2,-1.589069106,-0.017460282,84,2147,,,,
155,1547,0,2.9,1,6,0,45,0.7,166,2,8,583,590,505,12,2,3,0,1,1,0,0.729024749,-0.336975,166,505,,,,
156,1692,0,2.3,1,4,1,46,0.9,139,1,6,674,1925,1394,16,10,6,1,1,0,1,-0.034250057,-0.163985606,139,1394,,,,
157,637,0,2.3,0,3,1,60,0.8,97,4,4,1125,1989,374,18,4,8,1,0,1,0,-1.221566422,-0.362466125,97,374,,,,
158,1224,0,0.5,0,16,1,6,0.4,109,6,18,747,826,506,10,0,11,1,1,1,0,-0.882333175,-0.336780411,109,506,,,,
159,1356,0,2.8,0,0,0,29,0.5,198,6,0,1612,1983,3702,17,0,19,0,0,0,3,1.633646741,0.285125215,198,3702,,,,
160,1840,0,0.5,1,12,0,34,0.7,142,1,16,311,1545,1078,8,0,10,0,0,0,1,0.050558255,-0.225475649,142,1078,,,,
161,1481,1,0.7,1,4,1,37,0.6,96,5,13,116,1533,2945,10,5,16,1,1,1,2,-1.249835859,0.137821536,96,2945,,,,
162,961,1,1.5,1,10,0,51,0.3,152,6,16,554,621,2981,15,6,7,1,1,1,2,0.333252627,0.144826731,152,2981,,,,
163,1296,0,0.9,1,0,1,14,0.5,124,5,3,811,1272,490,7,1,4,1,1,1,0,-0.458291616,-0.339893831,124,490,,,,
164,1193,0,0.9,0,11,0,26,0.5,166,1,20,730,1729,536,17,14,4,1,0,1,0,0.729024749,-0.330942749,166,536,,,,
165,1441,0,2.1,1,11,1,3,0.1,118,8,17,577,1071,2317,16,4,7,1,0,1,2,-0.627908239,0.015619805,118,2317,,,,
166,517,0,1.4,1,3,1,33,0.8,183,4,8,660,974,3704,17,16,11,1,0,1,3,1.209605182,0.285514393,183,3704,,,,
167,748,1,1.7,0,0,1,27,0.9,150,8,4,450,1554,2126,18,9,7,1,0,0,1,0.276713753,-0.021546645,150,2126,,,,
168,1126,1,2.4,0,2,1,10,0.4,160,6,3,1223,1611,2050,7,6,12,1,1,1,2,0.559408125,-0.03633539,160,2050,,,,
169,1572,0,0.6,0,0,1,58,0.2,157,7,8,1109,1937,2462,12,8,10,1,0,0,3,0.474599814,0.043835173,157,2462,,,,
170,1569,0,2.8,1,17,0,44,0.3,110,4,20,45,1942,1260,9,2,17,1,0,0,1,-0.854063737,-0.190060498,110,1260,,,,
171,1270,1,0.6,1,2,1,32,0.5,101,7,6,299,845,3770,5,3,13,1,1,0,3,-1.108488673,0.29835725,101,3770,,,,
172,1854,0,3,0,2,1,8,0.1,101,5,5,506,627,1886,17,4,20,1,1,0,1,-1.108488673,-0.068247944,101,1886,,,,
173,625,1,1.2,1,5,1,10,0.2,183,4,8,635,842,3323,9,1,7,1,1,1,2,1.209605182,0.211376081,183,3323,,,,
174,1577,0,0.5,1,0,1,42,0.3,197,5,4,1045,1737,2060,19,6,12,1,0,0,2,1.605377304,-0.034389503,197,2060,,,,
175,534,0,0.5,1,0,1,16,1,189,5,1,393,1199,3926,16,12,20,1,0,0,3,1.379221806,0.328713094,189,3926,,,,
176,946,0,1.7,1,8,1,25,0.8,143,6,15,650,1740,2177,7,5,13,1,1,1,2,0.078827692,-0.011622619,143,2177,,,,
177,685,0,0.5,0,2,0,29,0.8,93,7,10,433,648,728,14,8,4,0,0,1,0,-1.334644171,-0.29358171,93,728,,,,
178,1949,0,1.3,1,0,0,23,0.1,101,5,1,839,1136,2478,14,8,20,1,0,0,3,-1.108488673,0.046948593,101,2478,,,,
179,947,0,0.8,1,0,1,22,0.1,197,2,13,1176,1220,2842,16,12,2,1,0,0,2,1.605377304,0.117778895,197,2842,,,,
180,801,1,2.2,1,2,0,63,0.4,165,7,4,650,879,1617,17,4,19,0,0,1,1,0.700755312,-0.120592316,165,1617,,,,
181,703,1,2.7,0,12,1,30,0.3,113,1,20,218,1065,1472,14,7,7,1,0,0,0,-0.769255426,-0.148807684,113,1472,,,,
182,1165,1,2.4,0,11,0,41,0.2,178,6,12,564,831,764,19,12,15,1,0,0,0,1.068257996,-0.286576515,178,764,,,,
183,1082,0,0.8,0,0,0,38,0.1,198,8,5,986,1191,2337,6,1,17,0,1,1,2,1.633646741,0.01951158,198,2337,,,,
184,959,1,2.6,1,15,0,20,1,84,4,19,561,1631,3965,16,1,6,1,0,0,3,-1.589069106,0.336302055,84,3965,,,,
185,1502,1,1.2,0,0,0,54,0.2,138,5,12,65,588,3693,17,14,16,1,1,0,3,-0.062519494,0.283373917,138,3693,,,,
186,1380,1,2.1,1,1,1,4,0.8,92,3,13,420,500,797,13,2,15,1,1,0,0,-1.362913608,-0.280155086,92,797,,,,
187,1266,0,0.5,0,0,1,5,0.1,95,6,9,1365,1698,1687,11,0,18,1,0,0,2,-1.278105296,-0.106971104,95,1687,,,,
188,1934,1,2.6,1,0,1,46,0.1,103,1,17,619,1299,2940,13,9,2,1,1,1,3,-1.051949798,0.136848592,103,2940,,,,
189,1905,1,0.5,0,3,1,6,0.5,151,1,5,849,898,1545,9,5,10,1,1,0,1,0.30498319,-0.134602706,151,1545,,,,
190,1831,0,1.4,1,2,0,43,0.9,150,5,5,611,1381,3834,17,7,13,1,1,1,3,0.276713753,0.31081093,150,3834,,,,
191,596,0,1.4,0,8,0,46,0.6,165,1,18,953,984,2505,15,4,15,1,1,0,1,0.700755312,0.052202489,165,2505,,,,
192,1562,1,1.3,1,1,1,7,0.2,190,5,15,642,1533,2243,12,10,6,1,0,0,2,1.407491243,0.001220238,190,2243,,,,
193,1490,1,0.5,1,4,1,64,0.3,150,8,8,1417,1464,3600,17,9,7,1,1,1,3,0.276713753,0.265277164,150,3600,,,,
194,1523,1,2.4,0,5,1,57,0.2,117,2,6,247,539,3971,18,12,10,1,1,1,3,-0.656177677,0.337469588,117,3971,,,,
